run_accession,analysis_accession,sample_accession,study_accession,analysis_type,tax_id,scientific_name,submitted_ftp,study_accession,experiment_accession,fastq_ftp,submitted_ftp,sra_ftp,bam_match,samplename
ERR3572857,ERZ2271553,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271553/ERR3572857.fasta.gz,PRJEB34634,ERX3571095,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572857/ERR3572857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572857/ERR3572857_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572857/WTCHG_670345_252159.bam,,WTCHG_670345_252159,DID-DW-100-SUM
ERR3572858,ERZ2271043,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271043/ERR3572858.fasta.gz,PRJEB34634,ERX3571096,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572858/ERR3572858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572858/ERR3572858_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572858/WTCHG_670346_252159.bam,,WTCHG_670346_252159,DID-DW-100-SUM
ERR3572859,ERZ2227387,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227387/ERR3572859.fasta.gz,PRJEB34634,ERX3571097,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572859/ERR3572859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572859/ERR3572859_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572859/WTCHG_670348_252159.bam,,WTCHG_670348_252159,DID-DW-100-SUM
ERR3572860,ERZ2270450,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270450/ERR3572860.fasta.gz,PRJEB34634,ERX3571098,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572860/ERR3572860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572860/ERR3572860_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572860/WTCHG_664453_252159.bam,,WTCHG_664453_252159,DID-DW-100-SUM
ERR3572861,ERZ2271717,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271717/ERR3572861.fasta.gz,PRJEB34634,ERX3571099,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572861/ERR3572861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572861/ERR3572861_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572861/WTCHG_670345_247124.bam,,WTCHG_670345_247124,DID-DW-100-WIN
ERR3572862,ERZ2270337,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270337/ERR3572862.fasta.gz,PRJEB34634,ERX3571100,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572862/ERR3572862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572862/ERR3572862_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572862/WTCHG_670348_247124.bam,,WTCHG_670348_247124,DID-DW-100-WIN
ERR3572863,ERZ2271204,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271204/ERR3572863.fasta.gz,PRJEB34634,ERX3571101,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572863/ERR3572863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572863/ERR3572863_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572863/WTCHG_670347_247124.bam,,WTCHG_670347_247124,DID-DW-100-WIN
ERR3572864,ERZ2271601,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271601/ERR3572864.fasta.gz,PRJEB34634,ERX3571102,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572864/ERR3572864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572864/ERR3572864_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572864/WTCHG_670346_247124.bam,,WTCHG_670346_247124,DID-DW-100-WIN
ERR3572865,ERZ2227794,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227794/ERR3572865.fasta.gz,PRJEB34634,ERX3571103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572865/ERR3572865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572865/ERR3572865_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572865/WTCHG_670349_247124.bam,,WTCHG_670349_247124,DID-DW-100-WIN
ERR3572866,ERZ2272350,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272350/ERR3572866.fasta.gz,PRJEB34634,ERX3571104,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572866/ERR3572866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572866/ERR3572866_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572866/WTCHG_670344_247124.bam,,WTCHG_670344_247124,DID-DW-100-WIN
