run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	study_title	sample_title	sample_alias	scientific_name	tax_id	instrument_platform	instrument_model	library_layout	library_strategy	library_source	library_selection	read_count	base_count	fastq_ftp	fastq_bytes	fastq_md5	center_name	first_public	last_updated	sex	host	host_sex	host_status	collection_date	country	location
ERR3572878	ERX3571116	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	8760807	2628242100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572878/ERR3572878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572878/ERR3572878_2.fastq.gz	787997270;881499570	06d870f849ed28d52ca681fa93f30221;d2907bdd464eb4267864aba3015992f7	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572882	ERX3571120	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	8692390	2607717000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572882/ERR3572882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572882/ERR3572882_2.fastq.gz	768807227;865998142	43ff627b7fd79faf0b6fc66e7d16f5fb;7cecfc7351fd47fb8c91beff7d26af54	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572884	ERX3571122	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	8583601	2575080300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572884/ERR3572884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572884/ERR3572884_2.fastq.gz	765328349;872801675	dd099ceff483c942b9be87d272971f3b;c51a03fa290dce30aa487e6676eb94c3	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572885	ERX3571123	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	8744462	2623338600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572885/ERR3572885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572885/ERR3572885_2.fastq.gz	775414974;876972437	47e25eac8019f0cc69e22453e7d11b76;57cb3b69ada02c854e15f3811963d2bb	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572889	ERX3571127	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	10099563	3029868900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572889/ERR3572889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572889/ERR3572889_2.fastq.gz	909530811;1019735974	98ee52aa20a0387d1b0e11c94ecc9221;fe35ca6cc7896447182f75b29446fa76	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572892	ERX3571130	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	10467892	3140367600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572892/ERR3572892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572892/ERR3572892_2.fastq.gz	925971176;1036814417	a3c429f8464cf728ba7eedf72a868325;ae3cd36db45a4b25ec13cf6d8abc3534	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572896	ERX3571134	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	9744569	2923370700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572896/ERR3572896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572896/ERR3572896_2.fastq.gz	870720715;968438674	6d83fc71186af9a1859e6f4e85a92c55;74fc72659e0fdcb6a78a75766b6bb754	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572897	ERX3571135	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	9595892	2878767600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572897/ERR3572897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572897/ERR3572897_2.fastq.gz	862428562;966833234	dfe79df12ede4f54b53f1dc329975625;ff1974af9b510de2e85798fd9443f855	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572902	ERX3571140	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	8779229	2633768700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572902/ERR3572902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572902/ERR3572902_2.fastq.gz	800516464;887613673	f3c96bec5d8160fb641fa0a6f97f87e2;f5647b9c9a3354f7b830f8a6f7b394e3	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572903	ERX3571141	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	13247967	3974390100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572903/ERR3572903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572903/ERR3572903_2.fastq.gz	1191927097;1337470081	4a2704a4329c20c9f7fd4729dded9bf1;b7e3c0585debfa92cabb060626589441	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572904	ERX3571142	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	27444566	4116684900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572904/ERR3572904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572904/ERR3572904_2.fastq.gz	1214872438;1367017886	58b39a9e7760098fd66ca3373f5f2224;4e14512cfaf113d39aca87baecaee5ec	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
ERR3572906	ERX3571144	SAMEA5989477	ERS3792294	PRJEB34634	ERP117568	Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes	REHAB	RH0001-DID-DW-100-AUT	sediment metagenome	749907	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	METAGENOMIC	RANDOM	13687145	4106143500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572906/ERR3572906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572906/ERR3572906_2.fastq.gz	1209154714;1355490509	2cd20ca7c8b6ebcebd43c3697c7872b6;2b2c5c741d6c08e98a4349c215d6c93e	CENTRE FOR ECOLOGY AND HYDROLOGY	2020-06-30	2019-10-03					2017	United Kingdom	51.619392 N 1.251716 W
